#hsa	pvalue
2932	0.0000000000000000000
5601	0.0000000000000000000
2931	0.0000000000000000000
3791	0.0000000000000000000
11200	0.0000000000000000000
1147	0.0000000000000000025
5579	0.0000000000000000057
5156	0.0000000000000000288
6714	0.0000000000000000652
1455	0.0000000000000001280
983	0.0000000000000004565
84446	0.0000000000000008530
3552	0.0000000000000017425
7010	0.0000000000000030232
9261	0.0000000000000030744
5599	0.0000000000000089724
5580	0.0000000000000090542
1453	0.0000000000000093447
50488	0.0000000000000179228
23178	0.0000000000000200998
6790	0.0000000000000231231
4193	0.0000000000000281376
4233	0.0000000000000533399
5588	0.0000000000001717107
11183	0.0000000000003619841
24413	0.0000000000004406784
7525	0.0000000000005239547
3718	0.0000000000005554056
4306	0.0000000000010316619
5590	0.0000000000016164469
26416	0.0000000000016249166
1456	0.0000000000016679875
8550	0.0000000000016679875
6462	0.0000000000017722774
4780	0.0000000000020340751
9212	0.0000000000024378379
53944	0.0000000000030310200
3932	0.0000000000036983782
9448	0.0000000000044483613
5578	0.0000000000049768458
4067	0.0000000000068599644
7298	0.0000000000094695949
5241	0.0000000000103547177
26395	0.0000000000126585135
5584	0.0000000000145591428
9475	0.0000000000147996253
6885	0.0000000000194387071
5582	0.0000000000287934811
6788	0.0000000000308000005
301	0.0000000000402243388
5586	0.0000000000444085442
2324	0.0000000000554998698
1956	0.0000000000636087041
5581	0.0000000000680100443
5159	0.0000000001149840687
2011	0.0000000001470164166
5583	0.0000000001653837459
1719	0.0000000001942523269
5261	0.0000000002012417846
4486	0.0000000002295887381
2908	0.0000000003281227422
6573	0.0000000004622391781
6195	0.0000000005853922216
403655	0.0000000006448276552
23617	0.0000000006591838764
8202	0.0000000006645456439
3815	0.0000000007741835758
2740	0.0000000014733489968
1020	0.0000000014758842231
805	0.0000000015638340380
808	0.0000000015638340380
24312	0.0000000016072387853
6198	0.0000000017366668483
3551	0.0000000018156056579
14272	0.0000000024395248155
110606	0.0000000024395248155
281169	0.0000000024395248155
327686	0.0000000024395248155
2064	0.0000000038044278703
23683	0.0000000039522100843
4140	0.0000000039876193834
2936	0.0000000045981267941
1859	0.0000000046771491627
9252	0.0000000052259555478
5871	0.0000000068037686066
5567	0.0000000072977219474
2260	0.0000000077925146784
558	0.0000000079686074954
2322	0.0000000081691297767
113235	0.0000000083636711784
6517	0.0000000085775944569
248	0.0000000086185327994
2264	0.0000000091149636340
4790	0.0000000095074566297
25	0.0000000110975954344
3569	0.0000000111689385513
5163	0.0000000112370538798
1452	0.0000000117051918300
7157	0.0000000122740634295
6850	0.0000000138280302887
80351	0.0000000140796590562
1454	0.0000000143038638698
1436	0.0000000145902148846
5255	0.0000000148472618132
5256	0.0000000148472618132
5257	0.0000000148472618132
4593	0.0000000167005992839
5260	0.0000000169496930846
13361	0.0000000179838606479
984	0.0000000186278141790
2720	0.0000000198095359209
5476	0.0000000198095359209
7272	0.0000000208216567760
2050	0.0000000210911043100
1588	0.0000000233236093486
2241	0.0000000244614047061
6794	0.0000000296225070743
816	0.0000000331743664439
10733	0.0000000359570361938
5663	0.0000000368080560887
250	0.0000000383927331908
5587	0.0000000401143778030
2100	0.0000000422418032864
812762	0.0000000503637526748
11835	0.0000000512912501312
572	0.0000000560044290157
650	0.0000000560044290157
866	0.0000000560044290157
8648	0.0000000560044290157
10499	0.0000000560044290157
728642	0.0000000587157223500
7124	0.0000000728635929930
2099	0.0000000772816289905
7297	0.0000000782531372906
5292	0.0000000802895458531
60352	0.0000000843092155338
64462	0.0000000843092155338
8317	0.0000000974320194053
9748	0.0000000989196375836
100529261	0.0000001010237227384
4139	0.0000001112942864331
6733	0.0000001112942864331
9024	0.0000001112942864331
2263	0.0000001114610469896
427317	0.0000001183951299445
7046	0.0000001403052375947
91	0.0000001580608512426
2356	0.0000001619089830417
3417	0.0000002269098457318
1457	0.0000002742900909215
2261	0.0000003214059740517
509322	0.0000003513264850904
516619	0.0000003513264850904
533276	0.0000003513264850904
1645	0.0000003832304172772
2342	0.0000003832304172772
5095	0.0000003832304172772
5096	0.0000003832304172772
9128	0.0000003832304172772
25318	0.0000003832304172772
64511	0.0000003832304172772
367	0.0000003844343899866
8851	0.0000004038553852396
249	0.0000004278672829303
547923	0.0000004571028920764
100848466	0.0000004650791260993
2872	0.0000004940079283604
891	0.0000005240222896548
9133	0.0000005240222896548
85417	0.0000005240222896548
9833	0.0000006045088525629
640	0.0000006275780597948
340156	0.0000006837998846256
120892	0.0000007214185409868
4915	0.0000008673935428276
5063	0.0000009121875802187
10298	0.0000009649251842957
5602	0.0000009713071982186
27330	0.0000011282781076678
1019	0.0000013436821582379
547694	0.0000014066374223002
547835	0.0000014066374223002
547836	0.0000014066374223002
547856	0.0000014066374223002
547860	0.0000014066374223002
547861	0.0000014066374223002
5592	0.0000014691256943204
2268	0.0000015832986871269
25778	0.0000016012298660435
83942	0.0000016826473720664
818	0.0000017324963293401
6196	0.0000017882641785299
5091	0.0000020758583286186
80899	0.0000020758583286186
1085515	0.0000020758583286186
24208	0.0000021072906778654
6789	0.0000021449164686292
1025	0.0000026149467736908
23043	0.0000026399014202998
2348	0.0000027938306736947
5603	0.0000029273707372942
1081	0.0000030967850865202
26576	0.0000031054370094161
4853	0.0000033692808247019
4854	0.0000033692808247019
4855	0.0000033692808247019
4058	0.0000034144998489570
3717	0.0000035114827962598
1111	0.0000038899625290736
817	0.0000041323505374070
6331	0.0000041619099913727
10114	0.0000041706217198694
91807	0.0000044143717691782
84385	0.0000044611713685650
2185	0.0000046852350109168
5426	0.0000051597789925806
5427	0.0000051597789925806
6241	0.0000051597789925806
50484	0.0000051597789925806
54107	0.0000051597789925806
56655	0.0000051597789925806
79813	0.0000051597789925806
110147	0.0000051597789925806
116447	0.0000051597789925806
140668	0.0000051597789925806
65156	0.0000053224932853075
5593	0.0000056182432485199
14815	0.0000059401615573517
202374	0.0000059401615573517
28996	0.0000071494980904910
2534	0.0000072499959381021
5893	0.0000073350970418055
6240	0.0000073350970418055
5651987	0.0000073350970418055
3654	0.0000078062349540032
387129	0.0000078062349540032
3716	0.0000082313285434348
5979	0.0000085612876587637
9891	0.0000092420012740130
6606	0.0000093973028186539
599	0.0000094657796313815
25672	0.0000094657796313815
294673	0.0000094657796313815
6787	0.0000094954012780007
2321	0.0000098999827779499
1723	0.0000100924883430170
9263	0.0000102348187208505
6197	0.0000118501572935447
8476	0.0000129521155447997
200576	0.0000137005472879878
6416	0.0000142967544637930
23235	0.0000162448419282676
2049	0.0000165886256923301
4851	0.0000165886256923301
18596	0.0000166707999972993
5613	0.0000193363550692349
1196	0.0000193754473842730
6732	0.0000200220156545452
2350	0.0000216434327488666
100533105	0.0000216434327488666
801	0.0000219216072653021
6093	0.0000252897488532440
238	0.0000254829026348047
122011	0.0000264641831054871
2645	0.0000268862903220740
51701	0.0000269538139302070
65975	0.0000271909835204521
23604	0.0000287812278897692
3960	0.0000296362676837935
5170	0.0000306210559034302
2444	0.0000308987023375899
2339	0.0000309111671083582
47	0.0000311027904943414
83805	0.0000311027904943414
403426	0.0000311027904943414
8536	0.0000333425894830659
815	0.0000337476633341294
50507	0.0000357341434849040
597	0.0000373796808190940
10017	0.0000373796808190940
23678	0.0000373796808190940
24835	0.0000373796808190940
26750	0.0000373796808190940
29904	0.0000373796808190940
65267	0.0000373796808190940
65268	0.0000373796808190940
280960	0.0000373796808190940
5894	0.0000400734079973222
8767	0.0000413798861122891
7075	0.0000414594879905412
1017	0.0000429108222073514
8658	0.0000465131593416147
5566	0.0000476377257195758
51053	0.0000503577457698062
1021	0.0000505156736805786
57396	0.0000542464379379007
166614	0.0000570951944485197
4217	0.0000572032886510888
4331	0.0000572032886510888
508809	0.0000572032886510888
27102	0.0000599246188390219
4293	0.0000604741575487164
6300	0.0000614620201117882
5607	0.0000616273001177037
16590	0.0000629503017009653
2870	0.0000639878157567940
6046	0.0000639878157567940
7867	0.0000639878157567940
8019	0.0000639878157567940
5467	0.0000775933763132082
8428	0.0000885798107912984
10494	0.0000885798107912984
30811	0.0000885798107912984
3783750	0.0000885798107912984
147746	0.0000898799976673923
2194	0.0000922232011046303
5753	0.0000930052703776269
4914	0.0000941920197574191
3055	0.0000976298831327170
351	0.0001003328946990030
100462812	0.0001036316550078650
3074	0.0001090589841050490
17161	0.0001090589841050490
4201816	0.0001090589841050490
4204180	0.0001090589841050490
4921	0.0001184850072807630
1559	0.0001250533383766990
5562	0.0001452690384530300
79915	0.0001473329917511070
27148	0.0001579490877622700
7301	0.0001689775621369950
23410	0.0001755638345065610
10461	0.0001814359727644020
3645	0.0001973664707302610
8621	0.0001973664707302610
9113	0.0001973664707302610
466	0.0001988401761905050
676	0.0001988401761905050
6675	0.0001988401761905050
14312	0.0001988401761905050
23774	0.0001988401761905050
29261	0.0001988401761905050
64550	0.0001988401761905050
67473	0.0001988401761905050
223770	0.0001988401761905050
398105	0.0001988401761905050
398457	0.0001988401761905050
398822	0.0001988401761905050
887777	0.0001988401761905050
1091594	0.0001988401761905050
2718383	0.0001988401761905050
4550648	0.0001988401761905050
4699078	0.0001988401761905050
5212317	0.0001988401761905050
6226217	0.0001988401761905050
9221804	0.0001988401761905050
8900	0.0002042395975273340
5594	0.0002159137774872490
5702	0.0002164769018016770
5705	0.0002164769018016770
5707	0.0002164769018016770
5708	0.0002164769018016770
5709	0.0002164769018016770
