#hsa	colour
5290	0.0000000000000000000
2475	0.0000000000000000000
5291	0.0000000000000000005
5293	0.0000000000000004916
5294	0.0000000000009760214
208	0.0000000000804752253
10000	0.0000000001064388558
207	0.0000000005814442312
7225	0.0000000236846883987
5289	0.0000000303377436140
8399	0.0000000437422788201
170911	0.0000000586267602584
18706	0.0000003990530748806
2936	0.0000011382238101179
7226	0.0000015935692450695
301	0.0000021873335272652
16855	0.0000021873335272652
5241	0.0000086455571862585
6401	0.0000102039062982881
3960	0.0000148193171196788
3725	0.0000221619063652415
84580	0.0000235128280899962
281108	0.0000372895599568773
3646458	0.0000372895599568773
3614	0.0000603091253768134
3615	0.0000603091253768134
6898	0.0000603091253768134
3552	0.0000800582719751266
190	0.0001044403526576570
14815	0.0001699306857036420
836	0.0002095276685958040
24653	0.0002155817670622830
5467	0.0002863426930063320
4321	0.0009087016551577050
3509526	0.0009133115700764280
9971	0.0011445852671692900
250	0.0012182443917959900
28234	0.0012962857787728300
5741	0.0013614008235616900
3641571	0.0013614008235616900
7253	0.0017952675372120500
248	0.0020619680540469800
5025	0.0022458152133368100
5167	0.0022458152133368100
11541	0.0022458152133368100
15930	0.0022458152133368100
18761	0.0022458152133368100
22978	0.0022458152133368100
84353	0.0022458152133368100
300177	0.0022458152133368100
403410	0.0022458152133368100
935189	0.0022458152133368100
12934404	0.0022458152133368100
100008951	0.0022458152133368100
249	0.0023265687991302300
23632	0.0030963734889762600
1577	0.0031278599923238900
338	0.0031952868051362900
1595	0.0031952868051362900
5321	0.0031952868051362900
3569	0.0032683940496982100
2147	0.0036357078792805400
856395	0.0041235436981299800
1515	0.0049853548675478800
392360	0.0049853548675478800
24413	0.0054039196592985400
397393	0.0054039196592985400
846	0.0060662448052211200
6713	0.0060662448052211200
3620	0.0066738456935783300
1513	0.0072765839331437700
5311	0.0093082411939607100
6869	0.0093082411939607100
3567	0.0094050391801981500
5091	0.0094050391801981500
19015	0.0094050391801981500
79054	0.0094050391801981500
80899	0.0094050391801981500
162466	0.0094050391801981500
1085515	0.0094050391801981500
4843	0.0098291135521750100
3061	0.0153745695249443000
100126581	0.0165486161771471000
2908	0.0182166765036125000
3062	0.0196052449920865000
4312	0.0197222178030903000
335	0.0207575575709170000
5095	0.0207575575709170000
5096	0.0207575575709170000
287024	0.0207575575709170000
442942	0.0207575575709170000
12933965	0.0207575575709170000
12934478	0.0207575575709170000
100727842	0.0207575575709170000
101093058	0.0207575575709170000
101099637	0.0207575575709170000
23683	0.0225823143605419000
10599	0.0236273743813025000
4790	0.0236481664340801000
29253	0.0244139721404754000
4306	0.0264894027768951000
1514	0.0298008581021199000
1578	0.0298008581021199000
64816	0.0298008581021199000
79424	0.0298008581021199000
813594	0.0303354766898919000
5649109	0.0303354766898919000
5591	0.0321849060131784000
132	0.0356613407542638000
495	0.0356613407542638000
1592	0.0356613407542638000
6046	0.0356613407542638000
7415	0.0356613407542638000
8019	0.0356613407542638000
5651987	0.0356613407542638000
100722663	0.0357613993947645000
100051593	0.0365738839991101000
11238	0.0388913469903755000
1019	0.0400903648862062000
25865	0.0426927250827300000
763	0.0437727008360139000
7184	0.0437727008360139000
23476	0.0472852375962174000
81657	0.0472852375962174000
83633	0.0472852375962174000
13319464	0.0472852375962174000
8856	0.0482979947640309000
24525	0.0489101478997379000
280868	0.0489101478997379000
855751	0.0489101478997379000
13316346	0.0489101478997379000
5129	0.0535449577853782000
8877	0.0535449577853782000
57105	0.0535449577853782000
113235	0.0535449577853782000
508809	0.0535449577853782000
3417	0.0557760202101018000
1520	0.0569830473996691000
84385	0.0569830473996691000
5587	0.0573711244005774000
2950	0.0600788919827330000
51135	0.0603793335165777000
472	0.0651209483076688000
1499	0.0668697082883055000
10988	0.0668697082883055000
154	0.0698724437045656000
140668	0.0724631668082764000
4318	0.0725589132052488000
842	0.0739007607171974000
5442	0.0739007607171974000
9568	0.0739007607171974000
60482	0.0811560660158211000
2350	0.0886202812005526000
5288	0.0886202812005526000
8202	0.0886202812005526000
23435	0.0898404359444685000
1576	0.0920461244230896000
1215	0.0954345199744565000
759	0.0960353744146469000
841	0.0962786817974035000
2550	0.0962786817974035000
7006	0.0962786817974035000
83817	0.0962786817974035000
427317	0.0962786817974035000
8550	0.0974078916576274000
766	0.0981902452282142000
1723	0.1041171407619130000
10800	0.1041171407619130000
84630	0.1041171407619130000
146057	0.1041171407619130000
100135540	0.1041171407619130000
3480	0.1042234867885630000
760	0.1047926462184900000
2264	0.1090555325408720000
595	0.1105830039678650000
4137	0.1117103733490730000
2348	0.1121221080590720000
3783750	0.1121221080590720000
771	0.1182855661131140000
56848	0.1202805908836480000
